118.85	120	1.3215	.009170	.072367	0.01000
119.95	120	1.3105	.009184	.067233	0.01000
121.05	122	1.331	.009241	.084325	0.01000
122.15	122	1.348	.009340	.0992	0.01000
123.25	122	1.33333	.009484	.093333	0.01000
124.35	125	1.31867	.00967	.087467	0.01000
125.45	125	1.31	.009899	.081975	0.01000
126.55	127	1.31	.010172	.077025	0.01000
127.65	127	1.30783	.010488	.075433	0.01000
128.75	130	1.30417	.010847	.076167	0.01000
129.85	130	1.3005	.011249	.0769	0.01000
130.95	130	1.3	.011695	.077633	0.01000
132.05	133	1.3	.012184	.078367	0.01000
133.15	133	1.30075	.012715	.0796	0.01000
134.25	133	1.30625	.013291	.084	0.01000
135.35	137	1.31175	.013909	.0884	0.01000
136.45	137	1.31725	.014570	.0928	0.01000
137.55	137	1.3145	.015275	.09115	0.01000
138.65	137	1.3035	.016023	.08345	0.01000
139.75	141	1.2925	.016814	.07575	0.01000
140.85	141	1.2815	.017648	.06805	0.01000
141.95	141	1.28633	.018525	.073808	0.01000
143.05	141	1.29367	.019446	.081692	0.01000
144.15	147	1.301	.020410	.089575	0.01000
145.25	147	1.30833	.021417	.097458	0.01000
146.35	147	1.31567	.022467	.105342	0.01000
147.45	147	1.343	.023560	.120563	0.01000
148.55	147	1.29337	.024697	.101938	0.01000
149.65	147	1.34256	.025877	.123313	0.01000
150.75	147	1.28821	.027100	.104688	0.01000
151.85	155	1.3423	.028366	.126063	0.01000
152.95	155	1.28289	.029675	.107438	0.01000
154.05	155	1.34222	.031028	.128813	0.01000
155.15	155	1.27739	.032424	.110188	0.01000
156.25	155	1.3423	.033863	.131563	0.01000
157.35	155	1.27172	.035345	.112938	0.01000
158.45	155	1.34256	.036870	.134313	0.01000
159.55	155	1.2659	.038438	.11569	0.01000
