dataset,energy,energy_sl,energy_sh,field,field_sl,field_sh,yield,yield_sl,yield_sh,l_eff,l_eff_sl,l_eff_sh,converted,excluded
MicroCLEAN 2012,211,2.43,2.43,0,0,0,12.5,0.9,1,0.26,0.02,0.02,0,0
MicroCLEAN 2012,239,1.8,1.8,0,0,0,12,0.5,0.9,0.25,0.01,0.02,0,0
Creus 2015,11.5,2.8,2.8,0,0,0,18.6,1.5,1.5,0.386,0.032,0.032,0,0
Creus 2015,16.4,3.9,3.9,0,0,0,14.7,1,1,0.305,0.020,0.020,0,0
Creus 2015,28.5,5.2,5.2,0,0,0,13.7,0.7,0.7,0.285,0.014,0.014,0,0
Creus 2015,43.4,6,6,0,0,0,14.1,1.1,1.1,0.294,0.023,0.023,0,0
Creus 2015,60.5,7.1,7.1,0,0,0,13.6,0.9,0.9,0.283,0.018,0.018,0,0
Creus 2015,119.6,7.7,7.7,0,0,0,14.5,0.9,0.9,0.301,0.019,0.019,0,0
ARIS 2018,7.1,0.18,0.18,0,0,0,11.7,0.4,0.4,0.243,0.009,0.009,0,0
ARIS 2018,13.7,0.34,0.34,0,0,0,12.4,0.3,0.3,0.258,0.007,0.007,0,0
ARIS 2018,17.8,0.98,0.98,0,0,0,12.2,0.7,0.7,0.253,0.015,0.015,0,0
ARIS 2018,21.7,0.54,0.54,0,0,0,12.9,0.3,0.3,0.269,0.006,0.006,0,0
ARIS 2018,40.5,1.01,1.01,0,0,0,13.8,0.3,0.3,0.286,0.006,0.006,0,0
ARIS 2018,65.4,1.64,1.64,0,0,0,14.6,0.4,0.4,0.304,0.008,0.008,0,0
ARIS 2018,98.1,2.45,2.45,0,0,0,16,0.3,0.3,0.332,0.006,0.006,0,0
ARIS 2018,117.8,2.95,2.95,0,0,0,16.8,0.2,0.2,0.349,0.005,0.005,0,0
ARIS 2018,7.1,0.18,0.18,50,0,0,10.3,0.6,0.6,0.214,0.012,0.012,0,0
ARIS 2018,13.7,0.34,0.34,50,0,0,11.2,0.5,0.5,0.233,0.010,0.010,0,0
ARIS 2018,17.8,0.98,0.98,50,0,0,11.7,0.7,0.7,0.243,0.015,0.015,0,0
ARIS 2018,21.7,0.54,0.54,50,0,0,12.3,0.4,0.4,0.256,0.008,0.008,0,0
ARIS 2018,40.5,1.01,1.01,50,0,0,13.4,0.4,0.4,0.279,0.009,0.009,0,0
ARIS 2018,65.4,1.64,1.64,50,0,0,14.3,0.6,0.6,0.298,0.012,0.012,0,0
ARIS 2018,98.1,2.45,2.45,50,0,0,16,0.5,0.5,0.334,0.010,0.010,0,0
ARIS 2018,117.8,2.95,2.95,50,0,0,16.7,0.4,0.4,0.347,0.008,0.008,0,0
ARIS 2018,7.1,0.18,0.18,100,0,0,10.1,0.6,0.6,0.211,0.012,0.012,0,0
ARIS 2018,13.7,0.34,0.34,100,0,0,11,0.7,0.7,0.228,0.014,0.014,0,0
ARIS 2018,17.8,0.98,0.98,100,0,0,10.9,0.7,0.7,0.227,0.015,0.015,0,0
ARIS 2018,21.7,0.54,0.54,100,0,0,11.6,0.4,0.4,0.242,0.008,0.008,0,0
ARIS 2018,40.5,1.01,1.01,100,0,0,13.1,0.4,0.4,0.272,0.009,0.009,0,0
ARIS 2018,65.4,1.64,1.64,100,0,0,14,0.6,0.6,0.291,0.013,0.013,0,0
ARIS 2018,98.1,2.45,2.45,100,0,0,15.2,0.6,0.6,0.316,0.013,0.013,0,0
ARIS 2018,117.8,2.95,2.95,100,0,0,16.3,0.4,0.4,0.338,0.009,0.009,0,0
ARIS 2018,7.1,0.18,0.18,200,0,0,9.3,0.5,0.5,0.194,0.011,0.011,0,0
ARIS 2018,13.7,0.34,0.34,200,0,0,10.5,0.5,0.5,0.218,0.010,0.010,0,0
ARIS 2018,17.8,0.98,0.98,200,0,0,10.5,0.7,0.7,0.219,0.014,0.014,0,0
ARIS 2018,21.7,0.54,0.54,200,0,0,11.2,0.3,0.3,0.233,0.007,0.007,0,0
ARIS 2018,40.5,1.01,1.01,200,0,0,12.8,0.4,0.4,0.267,0.008,0.008,0,0
ARIS 2018,65.4,1.64,1.64,200,0,0,13.9,0.5,0.5,0.290,0.011,0.011,0,0
ARIS 2018,98.1,2.45,2.45,200,0,0,15.6,0.4,0.4,0.324,0.008,0.008,0,0
ARIS 2018,117.8,2.95,2.95,200,0,0,16.3,0.4,0.4,0.340,0.008,0.008,0,0
ARIS 2018,13.7,0.34,0.34,500,0,0,9.2,0.4,0.4,0.192,0.007,0.007,0,0
ARIS 2018,17.8,0.98,0.98,500,0,0,9.5,0.6,0.6,0.197,0.012,0.012,0,0
ARIS 2018,21.7,0.54,0.54,500,0,0,10,0.3,0.3,0.207,0.006,0.006,0,0
ARIS 2018,40.5,1.01,1.01,500,0,0,11.6,0.3,0.3,0.242,0.007,0.007,0,0
ARIS 2018,65.4,1.64,1.64,500,0,0,12.6,0.7,0.7,0.263,0.014,0.014,0,0
ARIS 2018,98.1,2.45,2.45,500,0,0,14.4,0.4,0.4,0.299,0.007,0.007,0,0
ARIS 2018,117.8,2.95,2.95,500,0,0,15.8,0.4,0.4,0.330,0.007,0.007,0,0
Regenfus 2012,119,10.9,10.8,0,0,0,14.1,2,2,0.294,0.042,0.042,0,0
Regenfus 2012,60,9.1,9.9,0,0,0,13.3,1.4,1.4,0.278,0.029,0.029,0,0
Regenfus 2012,43,8,8.6,0,0,0,13.9,1.4,1.4,0.288,0.030,0.030,0,0
Regenfus 2012,28,6.8,7.3,0,0,0,12.9,1.6,1.6,0.268,0.034,0.034,0,0
Regenfus 2012,16,5.3,5.7,0,0,0,15.2,2,2,0.315,0.042,0.042,0,0
WARP 2005,64.9,0,0,0,0,0,13.4,1.3,1.3,0.279,0.028,0.028,0,0
SCENE 2013,10.8,0,0,1000,0,0,7.66,0.383,0.383,0.678,0.012,0.012,0,0
SCENE 2013,10.8,0,0,300,0,0,8.775,0.463,0.463,0.777,0.019,0.019,0,0
SCENE 2013,10.8,0,0,100,0,0,9.915,0.526,0.526,0.878,0.022,0.022,0,0
SCENE 2013,15.2,0,0,1000,0,0,7.99,0.468,0.468,0.695,0.015,0.015,0,0
SCENE 2013,15.2,0,0,300,0,0,9.592,0.557,0.557,0.835,0.017,0.017,0,0
