0.88932	0.0010391
0.91280	0.0012429
0.94099	0.0015058
0.96165	0.0017334
0.98277	0.0019201
1.0131	0.0021822
1.0444	0.0025119
1.0673	0.0028547
1.0955	0.0033711
1.1099	0.0039305
1.1392	0.0046416
1.1693	0.0055519
1.2002	0.0066408
1.2319	0.0077426
1.2644	0.0092612
1.3034	0.011511
1.3437	0.013769
1.3973	0.016469
1.4530	0.019699
1.5175	0.025770
1.6197	0.038805
1.6990	0.048232
1.7744	0.059186
1.8694	0.074511
1.9609	0.092612
2.0302	0.11078
2.1112	0.12751
2.1954	0.15449
2.3028	0.18244
2.4156	0.21271
2.5670	0.26102
2.6927	0.30045
2.8740	0.35938
3.0676	0.42987
3.2741	0.50119
3.5869	0.59186
3.8786	0.63908
4.2124	0.70795
4.5948	0.78423
5.0556	0.83603
5.4668	0.87992
5.8859	0.90273
6.3923	0.93804
6.9726	0.96235
7.5398	0.96235
8.0825	0.97474
8.6643	0.98729
9.3285	0.98729
10.000	0.98729
10.813	0.98729
11.542	0.98729
12.480	1.0000
13.379	1.0000
14.467	1.0000
15.441	1.0000
16.625	1.0000
17.514	1.0000
18.694	1.0129
19.866	1.0000
20.748	1.0000
22.049	1.0000
23.432	1.0000
24.686	1.0000
26.234	1.0000
27.638	0.98729
29.244	0.98729
30.809	0.97474
32.458	0.93804
34.047	0.90273
35.713	0.80455
36.498	0.72629
37.625	0.67263
38.786	0.59948
39.984	0.50119
40.862	0.42440
42.124	0.35481
42.676	0.29663
43.804	0.24173
44.765	0.18957
45.550	0.14867
47.367	0.11078
48.197	0.079433
49.255	0.058434
49.901	0.046416
50.997	0.035481
51.891	0.027123
52.572	0.021271
53.262	0.016053
54.195	0.011961
54.431	0.0096235
55.386	0.0074511
56.112	0.0056958
56.848	0.0044668
57.594	0.0034585
58.350	0.0026778
58.859	0.0021271
59.631	0.0017557
60.676	0.0014491
60.940	0.0012115
61.206	0.0010129
